ID_Tempat,Nama_Tempat,Daerah,Latitude,Longitude,Telepon,Gambar,Menu
t0047,Nasi Jinggo JIKELLE,"Denpasar Selatan, Panjer","-86,799,676","1,152,208,571",81337299111,"47_a,47_b,47_c,47_d","Paket Hemat Nasi Jinggo, Nasi Jinggo Ayam Babi, Nasi Jinggo Ayam Kecap, Nasi Jinggo Babi Kecap, Nasi Jinggo Cumi Kecap"
t0048,Senggol Nusantara,Denpasar Selatan,"-867,780","11,523,764",87760041480,"48_a,48_b,48_c,48_d","Sate Ayam Rembiga, Nasi Telur Crispy Sambal, Ayam Bakar Taliwang, Ayam Bakar Taliwang Madu, Plecing Kangkung"
t0049,Depot M27,Denpasar,"-86,685","11,522,837",87861992221,"49_a,49_b,49_c,49_d,49_e","Ayam Sasak, Ayam Plecing Bumbu Merah, Samabl Goreng Tahu, Pecel, Ikan Plecingan Bumbu Merah"
t0050,Warung Makan Bu Kadek,Denpasar,"-86,364,768","1,152,157,287",81997924786,"50_a,50_b,50_c","Nasi Campur Spesial, Nasi Campur B2 Rica, Babi Goreng, Sup Babi, Nasi Campur Istimewa "
t0051,Babi Guling Sading,Denpasar,"-86,095,376","1,152,386,458",81337104023,"51_a,51_b,51_c","Nasi Babi Guling, Nasi Be Genyol Biasa, Nasi Be Genyol Spesial, Nasi Be Genyol Komplit, Rambak Babi"
t0052,Jaje Bali Men Suambe,Denpasar,"-8,667,446","115,210,539",81238165446,"52_a,52_b,52_c","Jaje Ketan Hitam, Bubur Sumsum, Jaje Lupis, Godoh Nangka, Pisang Goreng Gula Merah"
t0053,Warung Bintang Danu,Denpasar,"-86,703,165","1,152,273,391",811392791,"53_a,53_b","Paket Ikan Pepes, Paket Ikan Nyat Nyat, Ayam Goreng Sambal Matah, Paket Ikan Goreng, Nasi Goreng Bali"
t0054,Warung Serayu,Denpasar,"-86,484,513","115,183,877",3619075081,"54_a,54_b,54_c,54_d","Sate Jamur, Tahu Telur, Nasi Campur Serayu, Tipat Cantok, Soto Ayam "
t0055,SABO BALI (Sate Ayam Babi Oka),Denpasar,"-8,680,873","115,200,565",89614686083,"55_a,55_b","Sate Ayam Bumbu SABO, Sate Ayam Sambal Matah, Sate Ayam Bumbu Dalam, Rice Bowl Ayam SABO, Rice Bowl Ayam Sambal Matah"
t0056,Babi Guling Bu Candra,Denpasar,"-86,752,098","1,152,049,092",361221278,"56_a,56_b,56_c","Kikil Babi Guling, Babi Genyol, Lawar Bali, Kuah Soto Balung, Daging Babi Guling"
t0057,Babi Guling Nadi Jaya,Badung Kuta,"-87,261,013","1,151,753,794",361759321,"57_a,57_b","Babi Guling, Nasi Babi Guling, Nasi Babi Guling Lengkap, Nasi Campur Babi, Tum Babi"
